Statistic,Month,Type of Feedstuff,UNIT,VALUE
Feed Stuff Price,2019M10,Wheat,Euro per Tonne,224
Feed Stuff Price,2019M11,Wheat,Euro per Tonne,221
Feed Stuff Price,2019M12,Wheat,Euro per Tonne,222
Feed Stuff Price,2020M01,Wheat,Euro per Tonne,226
Feed Stuff Price,2020M02,Wheat,Euro per Tonne,226
Feed Stuff Price,2020M03,Wheat,Euro per Tonne,230
Feed Stuff Price,2020M04,Wheat,Euro per Tonne,229
Feed Stuff Price,2020M05,Wheat,Euro per Tonne,230
Feed Stuff Price,2020M06,Wheat,Euro per Tonne,231
Feed Stuff Price,2020M07,Wheat,Euro per Tonne,230
Feed Stuff Price,2020M08,Wheat,Euro per Tonne,233
Feed Stuff Price,2020M09,Wheat,Euro per Tonne,233
Feed Stuff Price,2020M10,Wheat,Euro per Tonne,237
Feed Stuff Price,2020M11,Wheat,Euro per Tonne,239
Feed Stuff Price,2020M12,Wheat,Euro per Tonne,242
Feed Stuff Price,2021M01,Wheat,Euro per Tonne,251
Feed Stuff Price,2021M02,Wheat,Euro per Tonne,256
Feed Stuff Price,2021M03,Wheat,Euro per Tonne,260
Feed Stuff Price,2021M04,Wheat,Euro per Tonne,263
Feed Stuff Price,2021M05,Wheat,Euro per Tonne,268
Feed Stuff Price,2021M06,Wheat,Euro per Tonne,269
Feed Stuff Price,2021M07,Wheat,Euro per Tonne,271
Feed Stuff Price,2021M08,Wheat,Euro per Tonne,273
Feed Stuff Price,2021M09,Wheat,Euro per Tonne,285
Feed Stuff Price,2021M10,Wheat,Euro per Tonne,291
Feed Stuff Price,2021M11,Wheat,Euro per Tonne,301
Feed Stuff Price,2021M12,Wheat,Euro per Tonne,313
Feed Stuff Price,2022M01,Wheat,Euro per Tonne,320
Feed Stuff Price,2022M02,Wheat,Euro per Tonne,331
