Month,UNIT,Wheat_price
2005M03,Dollar/MT,150.99
2005M04,Dollar/MT,140.88
2005M05,Dollar/MT,143.33
2005M06,Dollar/MT,141.93
2005M07,Dollar/MT,143.87
2005M08,Dollar/MT,149.36
2005M09,Dollar/MT,159.71
2005M10,Dollar/MT,167.83
2005M11,Dollar/MT,161.12
2005M12,Dollar/MT,164.44
2006M01,Dollar/MT,167.16
2006M02,Dollar/MT,179.84
2006M03,Dollar/MT,174.44
2006M04,Dollar/MT,180.35
2006M05,Dollar/MT,193.17
2006M06,Dollar/MT,195.16
2006M07,Dollar/MT,202.43
2006M08,Dollar/MT,189.91
2006M09,Dollar/MT,195.98
2006M10,Dollar/MT,212.09
2006M11,Dollar/MT,209.68
2006M12,Dollar/MT,204.31
2007M01,Dollar/MT,196.07
2007M02,Dollar/MT,199.98
2007M03,Dollar/MT,199.1
2007M04,Dollar/MT,198.31
2007M05,Dollar/MT,195.72
2007M06,Dollar/MT,223.04
2007M07,Dollar/MT,238.41
2007M08,Dollar/MT,259.73
2007M09,Dollar/MT,326.54
2007M10,Dollar/MT,335.15
2007M11,Dollar/MT,321.81
2007M12,Dollar/MT,368.62
2008M01,Dollar/MT,370.66
2008M02,Dollar/MT,425
2008M03,Dollar/MT,439.72
2008M04,Dollar/MT,362.23
2008M05,Dollar/MT,328.76
2008M06,Dollar/MT,348.55
2008M07,Dollar/MT,328.18
2008M08,Dollar/MT,329.34
2008M09,Dollar/MT,295.55
2008M10,Dollar/MT,237.38
2008M11,Dollar/MT,226.85
2008M12,Dollar/MT,220.14
2009M01,Dollar/MT,239.11
2009M02,Dollar/MT,224.69
2009M03,Dollar/MT,230.98
2009M04,Dollar/MT,233.47
2009M05,Dollar/MT,261.48
2009M06,Dollar/MT,256.64
2009M07,Dollar/MT,224.85
2009M08,Dollar/MT,210.37
2009M09,Dollar/MT,191.09
2009M10,Dollar/MT,198.85
2009M11,Dollar/MT,211.04
2009M12,Dollar/MT,206.25
2010M01,Dollar/MT,201.19
2010M02,Dollar/MT,194
2010M03,Dollar/MT,191.08
2010M04,Dollar/MT,192.87
2010M05,Dollar/MT,181.61
2010M06,Dollar/MT,157.67
2010M07,Dollar/MT,195.82
2010M08,Dollar/MT,246.25
2010M09,Dollar/MT,271.67
2010M10,Dollar/MT,270.23
2010M11,Dollar/MT,274.08
2010M12,Dollar/MT,306.52
2011M01,Dollar/MT,326.56
2011M02,Dollar/MT,348.12
2011M03,Dollar/MT,316.75
2011M04,Dollar/MT,336.12
2011M05,Dollar/MT,355.28
2011M06,Dollar/MT,326.43
2011M07,Dollar/MT,303.88
2011M08,Dollar/MT,327.07
2011M09,Dollar/MT,315.92
2011M10,Dollar/MT,289.01
2011M11,Dollar/MT,281.01
2011M12,Dollar/MT,269.03
2012M01,Dollar/MT,274.89
2012M02,Dollar/MT,277.77
2012M03,Dollar/MT,283.88
2012M04,Dollar/MT,266.32
2012M05,Dollar/MT,264.36
2012M06,Dollar/MT,276.19
2012M07,Dollar/MT,345.69
2012M08,Dollar/MT,349.4
2012M09,Dollar/MT,353.42
2012M10,Dollar/MT,358.2
2012M11,Dollar/MT,360.82
2012M12,Dollar/MT,347.96
2013M01,Dollar/MT,335.47
2013M02,Dollar/MT,318.94
2013M03,Dollar/MT,309.75
2013M04,Dollar/MT,308.28
2013M05,Dollar/MT,319.67
2013M06,Dollar/MT,313.42
2013M07,Dollar/MT,304.61
2013M08,Dollar/MT,305.34
2013M09,Dollar/MT,307.51
2013M10,Dollar/MT,325.69
2013M11,Dollar/MT,306.75
2013M12,Dollar/MT,291.56
2014M01,Dollar/MT,275.58
2014M02,Dollar/MT,292.11
2014M03,Dollar/MT,323.71
2014M04,Dollar/MT,324.81
2014M05,Dollar/MT,334.73
2014M06,Dollar/MT,306.44
2014M07,Dollar/MT,280.35
2014M08,Dollar/MT,263.45
2014M09,Dollar/MT,243.61
2014M10,Dollar/MT,245.45
2014M11,Dollar/MT,258.68
2014M12,Dollar/MT,269.7
2015M01,Dollar/MT,248.39
2015M02,Dollar/MT,237
2015M03,Dollar/MT,230.75
2015M04,Dollar/MT,223.4
2015M05,Dollar/MT,215.32
2015M06,Dollar/MT,209.81
2015M07,Dollar/MT,197.31
2015M08,Dollar/MT,179.68
2015M09,Dollar/MT,172.7
2015M10,Dollar/MT,172.71
2015M11,Dollar/MT,177.1
2015M12,Dollar/MT,189.23
2016M01,Dollar/MT,193.27
2016M02,Dollar/MT,187.03
2016M03,Dollar/MT,191.07
2016M04,Dollar/MT,187.39
2016M05,Dollar/MT,171.96
2016M06,Dollar/MT,173.06
2016M07,Dollar/MT,151.75
2016M08,Dollar/MT,149.18
2016M09,Dollar/MT,150.65
2016M10,Dollar/MT,151.75
2016M11,Dollar/MT,150.65
2016M12,Dollar/MT,141.83
2017M01,Dollar/MT,153.22
2017M02,Dollar/MT,155.06
2017M03,Dollar/MT,154.32
2017M04,Dollar/MT,166.08
2017M05,Dollar/MT,180.41
2017M06,Dollar/MT,189.6
2017M07,Dollar/MT,202.46
2017M08,Dollar/MT,171.23
2017M09,Dollar/MT,178.57
2017M10,Dollar/MT,175.63
2017M11,Dollar/MT,179.68
2017M12,Dollar/MT,184.09
2018M01,Dollar/MT,192.17
2018M02,Dollar/MT,192.17
2018M03,Dollar/MT,192.17
2018M04,Dollar/MT,213.85
2018M05,Dollar/MT,213.85
2018M06,Dollar/MT,219.36
2018M07,Dollar/MT,218.26
2018M08,Dollar/MT,236.63
2018M09,Dollar/MT,212.38
2018M10,Dollar/MT,213.48
2018M11,Dollar/MT,203.56
2018M12,Dollar/MT,211.28
2019M01,Dollar/MT,209.81
2019M02,Dollar/MT,218.99
2019M03,Dollar/MT,205.76
2019M04,Dollar/MT,199.52
2019M05,Dollar/MT,199.52
2019M06,Dollar/MT,206.13
2019M07,Dollar/MT,196.21
2019M08,Dollar/MT,181.15
2019M09,Dollar/MT,189.6
2019M10,Dollar/MT,199.52
2019M11,Dollar/MT,203.19
2019M12,Dollar/MT,210.91
2020M01,Dollar/MT,224.5
2020M02,Dollar/MT,215.32
2020M03,Dollar/MT,209.07
2020M04,Dollar/MT,218.99
2020M05,Dollar/MT,205.76
2020M06,Dollar/MT,198.42
2020M07,Dollar/MT,222.13
2020M08,Dollar/MT,223
2020M09,Dollar/MT,247.68
2020M10,Dollar/MT,272.36
2020M11,Dollar/MT,273
2020M12,Dollar/MT,268.55
2021M01,Dollar/MT,289.3
2021M02,Dollar/MT,289.4
2021M03,Dollar/MT,273.13
2021M04,Dollar/MT,280.95
2021M05,Dollar/MT,297.25
2021M06,Dollar/MT,285.55
2021M07,Dollar/MT,294.27
2021M08,Dollar/MT,324.52
2021M09,Dollar/MT,337.55
2021M10,Dollar/MT,354.67
2021M11,Dollar/MT,379.45
2021M12,Dollar/MT,376.81
2022M01,Dollar/MT,374.24
2022M02,Dollar/MT,390.5
2022M03,Dollar/MT,486.3
