Statistic,Month,Type of Milk,UNIT,VALUE
Milk Sales (Dairy) for Human Consumption,1983M12,Whole Milk,Million Litres,41.5
Milk Sales (Dairy) for Human Consumption,1984M01,Whole Milk,Million Litres,42.4
Milk Sales (Dairy) for Human Consumption,1984M02,Whole Milk,Million Litres,41.2
Milk Sales (Dairy) for Human Consumption,1984M03,Whole Milk,Million Litres,45.6
Milk Sales (Dairy) for Human Consumption,1984M04,Whole Milk,Million Litres,41.8
Milk Sales (Dairy) for Human Consumption,1984M05,Whole Milk,Million Litres,44.7
Milk Sales (Dairy) for Human Consumption,1984M06,Whole Milk,Million Litres,42.6
Milk Sales (Dairy) for Human Consumption,1984M07,Whole Milk,Million Litres,43.3
Milk Sales (Dairy) for Human Consumption,1984M08,Whole Milk,Million Litres,43.6
Milk Sales (Dairy) for Human Consumption,1984M09,Whole Milk,Million Litres,42.3
Milk Sales (Dairy) for Human Consumption,1984M10,Whole Milk,Million Litres,43.8
Milk Sales (Dairy) for Human Consumption,1984M11,Whole Milk,Million Litres,42.4
Milk Sales (Dairy) for Human Consumption,1984M12,Whole Milk,Million Litres,41.9
Milk Sales (Dairy) for Human Consumption,1985M01,Whole Milk,Million Litres,42
Milk Sales (Dairy) for Human Consumption,1985M02,Whole Milk,Million Litres,39.2
Milk Sales (Dairy) for Human Consumption,1985M03,Whole Milk,Million Litres,42.4
Milk Sales (Dairy) for Human Consumption,1985M04,Whole Milk,Million Litres,40.7
Milk Sales (Dairy) for Human Consumption,1985M05,Whole Milk,Million Litres,42.4
Milk Sales (Dairy) for Human Consumption,1985M06,Whole Milk,Million Litres,40.7
Milk Sales (Dairy) for Human Consumption,1985M07,Whole Milk,Million Litres,42.2
Milk Sales (Dairy) for Human Consumption,1985M08,Whole Milk,Million Litres,41.8
Milk Sales (Dairy) for Human Consumption,1985M09,Whole Milk,Million Litres,39.7
Milk Sales (Dairy) for Human Consumption,1985M10,Whole Milk,Million Litres,42.4
Milk Sales (Dairy) for Human Consumption,1985M11,Whole Milk,Million Litres,40.8
Milk Sales (Dairy) for Human Consumption,1985M12,Whole Milk,Million Litres,41.2
Milk Sales (Dairy) for Human Consumption,1986M01,Whole Milk,Million Litres,41.6
Milk Sales (Dairy) for Human Consumption,1986M02,Whole Milk,Million Litres,38.5
Milk Sales (Dairy) for Human Consumption,1986M03,Whole Milk,Million Litres,41.1
Milk Sales (Dairy) for Human Consumption,1986M04,Whole Milk,Million Litres,40.4
Milk Sales (Dairy) for Human Consumption,1986M05,Whole Milk,Million Litres,41
Milk Sales (Dairy) for Human Consumption,1986M06,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1986M07,Whole Milk,Million Litres,40.4
Milk Sales (Dairy) for Human Consumption,1986M08,Whole Milk,Million Litres,39.6
Milk Sales (Dairy) for Human Consumption,1986M09,Whole Milk,Million Litres,39.4
Milk Sales (Dairy) for Human Consumption,1986M10,Whole Milk,Million Litres,40.8
Milk Sales (Dairy) for Human Consumption,1986M11,Whole Milk,Million Litres,38.6
Milk Sales (Dairy) for Human Consumption,1986M12,Whole Milk,Million Litres,38.9
Milk Sales (Dairy) for Human Consumption,1987M01,Whole Milk,Million Litres,40.6
Milk Sales (Dairy) for Human Consumption,1987M02,Whole Milk,Million Litres,37.2
Milk Sales (Dairy) for Human Consumption,1987M03,Whole Milk,Million Litres,41.1
Milk Sales (Dairy) for Human Consumption,1987M04,Whole Milk,Million Litres,39.1
Milk Sales (Dairy) for Human Consumption,1987M05,Whole Milk,Million Litres,40.2
Milk Sales (Dairy) for Human Consumption,1987M06,Whole Milk,Million Litres,38.9
Milk Sales (Dairy) for Human Consumption,1987M07,Whole Milk,Million Litres,40.3
Milk Sales (Dairy) for Human Consumption,1987M08,Whole Milk,Million Litres,39.3
Milk Sales (Dairy) for Human Consumption,1987M09,Whole Milk,Million Litres,38.9
Milk Sales (Dairy) for Human Consumption,1987M10,Whole Milk,Million Litres,39.8
Milk Sales (Dairy) for Human Consumption,1987M11,Whole Milk,Million Litres,38.1
Milk Sales (Dairy) for Human Consumption,1987M12,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1988M01,Whole Milk,Million Litres,38.7
Milk Sales (Dairy) for Human Consumption,1988M02,Whole Milk,Million Litres,36.9
Milk Sales (Dairy) for Human Consumption,1988M03,Whole Milk,Million Litres,39.3
Milk Sales (Dairy) for Human Consumption,1988M04,Whole Milk,Million Litres,37.9
Milk Sales (Dairy) for Human Consumption,1988M05,Whole Milk,Million Litres,38.6
Milk Sales (Dairy) for Human Consumption,1988M06,Whole Milk,Million Litres,37.8
Milk Sales (Dairy) for Human Consumption,1988M07,Whole Milk,Million Litres,38
Milk Sales (Dairy) for Human Consumption,1988M08,Whole Milk,Million Litres,37.9
Milk Sales (Dairy) for Human Consumption,1988M09,Whole Milk,Million Litres,38.2
Milk Sales (Dairy) for Human Consumption,1988M10,Whole Milk,Million Litres,37.6
Milk Sales (Dairy) for Human Consumption,1988M11,Whole Milk,Million Litres,37.6
Milk Sales (Dairy) for Human Consumption,1988M12,Whole Milk,Million Litres,38.1
Milk Sales (Dairy) for Human Consumption,1989M01,Whole Milk,Million Litres,37.4
Milk Sales (Dairy) for Human Consumption,1989M02,Whole Milk,Million Litres,35.2
Milk Sales (Dairy) for Human Consumption,1989M03,Whole Milk,Million Litres,39.3
Milk Sales (Dairy) for Human Consumption,1989M04,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1989M05,Whole Milk,Million Litres,38
Milk Sales (Dairy) for Human Consumption,1989M06,Whole Milk,Million Litres,38.9
Milk Sales (Dairy) for Human Consumption,1989M07,Whole Milk,Million Litres,38.1
Milk Sales (Dairy) for Human Consumption,1989M08,Whole Milk,Million Litres,38.3
Milk Sales (Dairy) for Human Consumption,1989M09,Whole Milk,Million Litres,39.5
Milk Sales (Dairy) for Human Consumption,1989M10,Whole Milk,Million Litres,37.2
Milk Sales (Dairy) for Human Consumption,1989M11,Whole Milk,Million Litres,36.2
Milk Sales (Dairy) for Human Consumption,1989M12,Whole Milk,Million Litres,38.3
Milk Sales (Dairy) for Human Consumption,1990M01,Whole Milk,Million Litres,36.3
Milk Sales (Dairy) for Human Consumption,1990M02,Whole Milk,Million Litres,34.9
Milk Sales (Dairy) for Human Consumption,1990M03,Whole Milk,Million Litres,39.7
Milk Sales (Dairy) for Human Consumption,1990M04,Whole Milk,Million Litres,36.4
Milk Sales (Dairy) for Human Consumption,1990M05,Whole Milk,Million Litres,37.6
Milk Sales (Dairy) for Human Consumption,1990M06,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1990M07,Whole Milk,Million Litres,37.7
Milk Sales (Dairy) for Human Consumption,1990M08,Whole Milk,Million Litres,38.1
Milk Sales (Dairy) for Human Consumption,1990M09,Whole Milk,Million Litres,39
Milk Sales (Dairy) for Human Consumption,1990M10,Whole Milk,Million Litres,37.6
Milk Sales (Dairy) for Human Consumption,1990M11,Whole Milk,Million Litres,36.2
Milk Sales (Dairy) for Human Consumption,1990M12,Whole Milk,Million Litres,36.6
Milk Sales (Dairy) for Human Consumption,1991M01,Whole Milk,Million Litres,36.4
Milk Sales (Dairy) for Human Consumption,1991M02,Whole Milk,Million Litres,35
Milk Sales (Dairy) for Human Consumption,1991M03,Whole Milk,Million Litres,39.1
Milk Sales (Dairy) for Human Consumption,1991M04,Whole Milk,Million Litres,36.5
Milk Sales (Dairy) for Human Consumption,1991M05,Whole Milk,Million Litres,37.8
Milk Sales (Dairy) for Human Consumption,1991M06,Whole Milk,Million Litres,39.3
Milk Sales (Dairy) for Human Consumption,1991M07,Whole Milk,Million Litres,37.6
Milk Sales (Dairy) for Human Consumption,1991M08,Whole Milk,Million Litres,37.7
Milk Sales (Dairy) for Human Consumption,1991M09,Whole Milk,Million Litres,38.4
Milk Sales (Dairy) for Human Consumption,1991M10,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1991M11,Whole Milk,Million Litres,36.1
Milk Sales (Dairy) for Human Consumption,1991M12,Whole Milk,Million Litres,37.9
Milk Sales (Dairy) for Human Consumption,1992M01,Whole Milk,Million Litres,37.2
Milk Sales (Dairy) for Human Consumption,1992M02,Whole Milk,Million Litres,35.3
Milk Sales (Dairy) for Human Consumption,1992M03,Whole Milk,Million Litres,39.5
Milk Sales (Dairy) for Human Consumption,1992M04,Whole Milk,Million Litres,36
Milk Sales (Dairy) for Human Consumption,1992M05,Whole Milk,Million Litres,37.1
Milk Sales (Dairy) for Human Consumption,1992M06,Whole Milk,Million Litres,37.9
Milk Sales (Dairy) for Human Consumption,1992M07,Whole Milk,Million Litres,37.1
Milk Sales (Dairy) for Human Consumption,1992M08,Whole Milk,Million Litres,37.3
Milk Sales (Dairy) for Human Consumption,1992M09,Whole Milk,Million Litres,38.9
Milk Sales (Dairy) for Human Consumption,1992M10,Whole Milk,Million Litres,37
Milk Sales (Dairy) for Human Consumption,1992M11,Whole Milk,Million Litres,35.9
Milk Sales (Dairy) for Human Consumption,1992M12,Whole Milk,Million Litres,38.2
Milk Sales (Dairy) for Human Consumption,1993M01,Whole Milk,Million Litres,35.7
Milk Sales (Dairy) for Human Consumption,1993M02,Whole Milk,Million Litres,34.8
Milk Sales (Dairy) for Human Consumption,1993M03,Whole Milk,Million Litres,39.5
Milk Sales (Dairy) for Human Consumption,1993M04,Whole Milk,Million Litres,36.4
Milk Sales (Dairy) for Human Consumption,1993M05,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1993M06,Whole Milk,Million Litres,38.6
Milk Sales (Dairy) for Human Consumption,1993M07,Whole Milk,Million Litres,37.2
Milk Sales (Dairy) for Human Consumption,1993M08,Whole Milk,Million Litres,36.6
Milk Sales (Dairy) for Human Consumption,1993M09,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1993M10,Whole Milk,Million Litres,36.7
Milk Sales (Dairy) for Human Consumption,1993M11,Whole Milk,Million Litres,36.6
Milk Sales (Dairy) for Human Consumption,1993M12,Whole Milk,Million Litres,39.2
Milk Sales (Dairy) for Human Consumption,1994M01,Whole Milk,Million Litres,36.2
Milk Sales (Dairy) for Human Consumption,1994M02,Whole Milk,Million Litres,34.5
Milk Sales (Dairy) for Human Consumption,1994M03,Whole Milk,Million Litres,39.5
Milk Sales (Dairy) for Human Consumption,1994M04,Whole Milk,Million Litres,36.5
Milk Sales (Dairy) for Human Consumption,1994M05,Whole Milk,Million Litres,36.5
Milk Sales (Dairy) for Human Consumption,1994M06,Whole Milk,Million Litres,37.9
Milk Sales (Dairy) for Human Consumption,1994M07,Whole Milk,Million Litres,36.9
Milk Sales (Dairy) for Human Consumption,1994M08,Whole Milk,Million Litres,37.1
Milk Sales (Dairy) for Human Consumption,1994M09,Whole Milk,Million Litres,39
Milk Sales (Dairy) for Human Consumption,1994M10,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1994M11,Whole Milk,Million Litres,35.6
Milk Sales (Dairy) for Human Consumption,1994M12,Whole Milk,Million Litres,38.1
Milk Sales (Dairy) for Human Consumption,1995M01,Whole Milk,Million Litres,35.2
Milk Sales (Dairy) for Human Consumption,1995M02,Whole Milk,Million Litres,34.6
Milk Sales (Dairy) for Human Consumption,1995M03,Whole Milk,Million Litres,39.1
Milk Sales (Dairy) for Human Consumption,1995M04,Whole Milk,Million Litres,35.6
Milk Sales (Dairy) for Human Consumption,1995M05,Whole Milk,Million Litres,37.1
Milk Sales (Dairy) for Human Consumption,1995M06,Whole Milk,Million Litres,38.3
Milk Sales (Dairy) for Human Consumption,1995M07,Whole Milk,Million Litres,36.9
Milk Sales (Dairy) for Human Consumption,1995M08,Whole Milk,Million Litres,38.2
Milk Sales (Dairy) for Human Consumption,1995M09,Whole Milk,Million Litres,39.1
Milk Sales (Dairy) for Human Consumption,1995M10,Whole Milk,Million Litres,36.5
Milk Sales (Dairy) for Human Consumption,1995M11,Whole Milk,Million Litres,36.4
Milk Sales (Dairy) for Human Consumption,1995M12,Whole Milk,Million Litres,38.1
Milk Sales (Dairy) for Human Consumption,1996M01,Whole Milk,Million Litres,35.1
Milk Sales (Dairy) for Human Consumption,1996M02,Whole Milk,Million Litres,35.9
Milk Sales (Dairy) for Human Consumption,1996M03,Whole Milk,Million Litres,38.6
Milk Sales (Dairy) for Human Consumption,1996M04,Whole Milk,Million Litres,35.5
Milk Sales (Dairy) for Human Consumption,1996M05,Whole Milk,Million Litres,37.5
Milk Sales (Dairy) for Human Consumption,1996M06,Whole Milk,Million Litres,37.5
Milk Sales (Dairy) for Human Consumption,1996M07,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1996M08,Whole Milk,Million Litres,39.8
Milk Sales (Dairy) for Human Consumption,1996M09,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1996M10,Whole Milk,Million Litres,36.1
Milk Sales (Dairy) for Human Consumption,1996M11,Whole Milk,Million Litres,36.2
Milk Sales (Dairy) for Human Consumption,1996M12,Whole Milk,Million Litres,37.8
Milk Sales (Dairy) for Human Consumption,1997M01,Whole Milk,Million Litres,35.7
Milk Sales (Dairy) for Human Consumption,1997M02,Whole Milk,Million Litres,34.3
Milk Sales (Dairy) for Human Consumption,1997M03,Whole Milk,Million Litres,36.9
Milk Sales (Dairy) for Human Consumption,1997M04,Whole Milk,Million Litres,36.3
Milk Sales (Dairy) for Human Consumption,1997M05,Whole Milk,Million Litres,37.8
Milk Sales (Dairy) for Human Consumption,1997M06,Whole Milk,Million Litres,35.8
Milk Sales (Dairy) for Human Consumption,1997M07,Whole Milk,Million Litres,38.2
Milk Sales (Dairy) for Human Consumption,1997M08,Whole Milk,Million Litres,38.3
Milk Sales (Dairy) for Human Consumption,1997M09,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1997M10,Whole Milk,Million Litres,37.6
Milk Sales (Dairy) for Human Consumption,1997M11,Whole Milk,Million Litres,36.2
Milk Sales (Dairy) for Human Consumption,1997M12,Whole Milk,Million Litres,36.2
Milk Sales (Dairy) for Human Consumption,1998M01,Whole Milk,Million Litres,36.5
Milk Sales (Dairy) for Human Consumption,1998M02,Whole Milk,Million Litres,33.7
Milk Sales (Dairy) for Human Consumption,1998M03,Whole Milk,Million Litres,37
Milk Sales (Dairy) for Human Consumption,1998M04,Whole Milk,Million Litres,35.8
Milk Sales (Dairy) for Human Consumption,1998M05,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1998M06,Whole Milk,Million Litres,36.2
Milk Sales (Dairy) for Human Consumption,1998M07,Whole Milk,Million Litres,38.4
Milk Sales (Dairy) for Human Consumption,1998M08,Whole Milk,Million Litres,38.8
Milk Sales (Dairy) for Human Consumption,1998M09,Whole Milk,Million Litres,37.7
Milk Sales (Dairy) for Human Consumption,1998M10,Whole Milk,Million Litres,38.2
Milk Sales (Dairy) for Human Consumption,1998M11,Whole Milk,Million Litres,35.8
Milk Sales (Dairy) for Human Consumption,1998M12,Whole Milk,Million Litres,38.3
Milk Sales (Dairy) for Human Consumption,1999M01,Whole Milk,Million Litres,35.3
Milk Sales (Dairy) for Human Consumption,1999M02,Whole Milk,Million Litres,32
Milk Sales (Dairy) for Human Consumption,1999M03,Whole Milk,Million Litres,36.1
Milk Sales (Dairy) for Human Consumption,1999M04,Whole Milk,Million Litres,35.2
Milk Sales (Dairy) for Human Consumption,1999M05,Whole Milk,Million Litres,35.6
Milk Sales (Dairy) for Human Consumption,1999M06,Whole Milk,Million Litres,35.9
Milk Sales (Dairy) for Human Consumption,1999M07,Whole Milk,Million Litres,36.5
Milk Sales (Dairy) for Human Consumption,1999M08,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,1999M09,Whole Milk,Million Litres,35.5
Milk Sales (Dairy) for Human Consumption,1999M10,Whole Milk,Million Litres,36.1
Milk Sales (Dairy) for Human Consumption,1999M11,Whole Milk,Million Litres,35.1
Milk Sales (Dairy) for Human Consumption,1999M12,Whole Milk,Million Litres,35.9
Milk Sales (Dairy) for Human Consumption,2000M01,Whole Milk,Million Litres,35.9
Milk Sales (Dairy) for Human Consumption,2000M02,Whole Milk,Million Litres,33.7
Milk Sales (Dairy) for Human Consumption,2000M03,Whole Milk,Million Litres,36.6
Milk Sales (Dairy) for Human Consumption,2000M04,Whole Milk,Million Litres,35.1
Milk Sales (Dairy) for Human Consumption,2000M05,Whole Milk,Million Litres,36
Milk Sales (Dairy) for Human Consumption,2000M06,Whole Milk,Million Litres,35
Milk Sales (Dairy) for Human Consumption,2000M07,Whole Milk,Million Litres,36.1
Milk Sales (Dairy) for Human Consumption,2000M08,Whole Milk,Million Litres,36.3
Milk Sales (Dairy) for Human Consumption,2000M09,Whole Milk,Million Litres,34.9
Milk Sales (Dairy) for Human Consumption,2000M10,Whole Milk,Million Litres,35.4
Milk Sales (Dairy) for Human Consumption,2000M11,Whole Milk,Million Litres,33.6
Milk Sales (Dairy) for Human Consumption,2000M12,Whole Milk,Million Litres,34.6
Milk Sales (Dairy) for Human Consumption,2001M01,Whole Milk,Million Litres,34.3
Milk Sales (Dairy) for Human Consumption,2001M02,Whole Milk,Million Litres,31.7
Milk Sales (Dairy) for Human Consumption,2001M03,Whole Milk,Million Litres,36.4
Milk Sales (Dairy) for Human Consumption,2001M04,Whole Milk,Million Litres,34.1
Milk Sales (Dairy) for Human Consumption,2001M05,Whole Milk,Million Litres,37.1
Milk Sales (Dairy) for Human Consumption,2001M06,Whole Milk,Million Litres,35.8
Milk Sales (Dairy) for Human Consumption,2001M07,Whole Milk,Million Litres,36.3
Milk Sales (Dairy) for Human Consumption,2001M08,Whole Milk,Million Litres,36.8
Milk Sales (Dairy) for Human Consumption,2001M09,Whole Milk,Million Litres,35.6
Milk Sales (Dairy) for Human Consumption,2001M10,Whole Milk,Million Litres,36.7
Milk Sales (Dairy) for Human Consumption,2001M11,Whole Milk,Million Litres,34.9
Milk Sales (Dairy) for Human Consumption,2001M12,Whole Milk,Million Litres,35.2
Milk Sales (Dairy) for Human Consumption,2002M01,Whole Milk,Million Litres,36.1
Milk Sales (Dairy) for Human Consumption,2002M02,Whole Milk,Million Litres,32.9
Milk Sales (Dairy) for Human Consumption,2002M03,Whole Milk,Million Litres,34.6
Milk Sales (Dairy) for Human Consumption,2002M04,Whole Milk,Million Litres,34.7
Milk Sales (Dairy) for Human Consumption,2002M05,Whole Milk,Million Litres,35.9
Milk Sales (Dairy) for Human Consumption,2002M06,Whole Milk,Million Litres,34.2
Milk Sales (Dairy) for Human Consumption,2002M07,Whole Milk,Million Litres,35.8
Milk Sales (Dairy) for Human Consumption,2002M08,Whole Milk,Million Litres,35.4
Milk Sales (Dairy) for Human Consumption,2002M09,Whole Milk,Million Litres,34.6
Milk Sales (Dairy) for Human Consumption,2002M10,Whole Milk,Million Litres,35.7
Milk Sales (Dairy) for Human Consumption,2002M11,Whole Milk,Million Litres,34.2
Milk Sales (Dairy) for Human Consumption,2002M12,Whole Milk,Million Litres,33.5
Milk Sales (Dairy) for Human Consumption,2003M01,Whole Milk,Million Litres,35.1
Milk Sales (Dairy) for Human Consumption,2003M02,Whole Milk,Million Litres,31.4
Milk Sales (Dairy) for Human Consumption,2003M03,Whole Milk,Million Litres,36.9
Milk Sales (Dairy) for Human Consumption,2003M04,Whole Milk,Million Litres,32.1
Milk Sales (Dairy) for Human Consumption,2003M05,Whole Milk,Million Litres,34.6
Milk Sales (Dairy) for Human Consumption,2003M06,Whole Milk,Million Litres,33.1
Milk Sales (Dairy) for Human Consumption,2003M07,Whole Milk,Million Litres,34.8
Milk Sales (Dairy) for Human Consumption,2003M08,Whole Milk,Million Litres,33.7
Milk Sales (Dairy) for Human Consumption,2003M09,Whole Milk,Million Litres,34.2
Milk Sales (Dairy) for Human Consumption,2003M10,Whole Milk,Million Litres,35
Milk Sales (Dairy) for Human Consumption,2003M11,Whole Milk,Million Litres,33.1
Milk Sales (Dairy) for Human Consumption,2003M12,Whole Milk,Million Litres,33.7
Milk Sales (Dairy) for Human Consumption,2004M01,Whole Milk,Million Litres,33.9
Milk Sales (Dairy) for Human Consumption,2004M02,Whole Milk,Million Litres,31.6
Milk Sales (Dairy) for Human Consumption,2004M03,Whole Milk,Million Litres,36
Milk Sales (Dairy) for Human Consumption,2004M04,Whole Milk,Million Litres,31.5
Milk Sales (Dairy) for Human Consumption,2004M05,Whole Milk,Million Litres,33.3
Milk Sales (Dairy) for Human Consumption,2004M06,Whole Milk,Million Litres,32.9
Milk Sales (Dairy) for Human Consumption,2004M07,Whole Milk,Million Litres,33.2
Milk Sales (Dairy) for Human Consumption,2004M08,Whole Milk,Million Litres,33.6
Milk Sales (Dairy) for Human Consumption,2004M09,Whole Milk,Million Litres,33.6
Milk Sales (Dairy) for Human Consumption,2004M10,Whole Milk,Million Litres,32.9
Milk Sales (Dairy) for Human Consumption,2004M11,Whole Milk,Million Litres,32.7
Milk Sales (Dairy) for Human Consumption,2004M12,Whole Milk,Million Litres,32.8
Milk Sales (Dairy) for Human Consumption,2005M01,Whole Milk,Million Litres,32.8
Milk Sales (Dairy) for Human Consumption,2005M02,Whole Milk,Million Litres,30.3
Milk Sales (Dairy) for Human Consumption,2005M03,Whole Milk,Million Litres,33.8
Milk Sales (Dairy) for Human Consumption,2005M04,Whole Milk,Million Litres,30.5
Milk Sales (Dairy) for Human Consumption,2005M05,Whole Milk,Million Litres,33.1
Milk Sales (Dairy) for Human Consumption,2005M06,Whole Milk,Million Litres,32.2
Milk Sales (Dairy) for Human Consumption,2005M07,Whole Milk,Million Litres,32.1
Milk Sales (Dairy) for Human Consumption,2005M08,Whole Milk,Million Litres,33.9
Milk Sales (Dairy) for Human Consumption,2005M09,Whole Milk,Million Litres,32.9
Milk Sales (Dairy) for Human Consumption,2005M10,Whole Milk,Million Litres,31.6
Milk Sales (Dairy) for Human Consumption,2005M11,Whole Milk,Million Litres,32.3
Milk Sales (Dairy) for Human Consumption,2005M12,Whole Milk,Million Litres,31.7
Milk Sales (Dairy) for Human Consumption,2006M01,Whole Milk,Million Litres,32
Milk Sales (Dairy) for Human Consumption,2006M02,Whole Milk,Million Litres,29.5
Milk Sales (Dairy) for Human Consumption,2006M03,Whole Milk,Million Litres,33.8
Milk Sales (Dairy) for Human Consumption,2006M04,Whole Milk,Million Litres,30.2
Milk Sales (Dairy) for Human Consumption,2006M05,Whole Milk,Million Litres,32.4
Milk Sales (Dairy) for Human Consumption,2006M06,Whole Milk,Million Litres,31.3
Milk Sales (Dairy) for Human Consumption,2006M07,Whole Milk,Million Litres,31.6
Milk Sales (Dairy) for Human Consumption,2006M08,Whole Milk,Million Litres,34.3
Milk Sales (Dairy) for Human Consumption,2006M09,Whole Milk,Million Litres,31.7
Milk Sales (Dairy) for Human Consumption,2006M10,Whole Milk,Million Litres,32.3
Milk Sales (Dairy) for Human Consumption,2006M11,Whole Milk,Million Litres,32.2
Milk Sales (Dairy) for Human Consumption,2006M12,Whole Milk,Million Litres,31.4
Milk Sales (Dairy) for Human Consumption,2007M01,Whole Milk,Million Litres,32.1
Milk Sales (Dairy) for Human Consumption,2007M02,Whole Milk,Million Litres,29.3
Milk Sales (Dairy) for Human Consumption,2007M03,Whole Milk,Million Litres,32.4
Milk Sales (Dairy) for Human Consumption,2007M04,Whole Milk,Million Litres,30.4
Milk Sales (Dairy) for Human Consumption,2007M05,Whole Milk,Million Litres,31.8
Milk Sales (Dairy) for Human Consumption,2007M06,Whole Milk,Million Litres,30.8
Milk Sales (Dairy) for Human Consumption,2007M07,Whole Milk,Million Litres,31.2
Milk Sales (Dairy) for Human Consumption,2007M08,Whole Milk,Million Litres,32.2
Milk Sales (Dairy) for Human Consumption,2007M09,Whole Milk,Million Litres,31.1
