Statistic,Month,Product,UNIT,VALUE
Manufacturing Milk Prices (including VAT),2013M02,"Milk (per litre), actual fat and protein",Euro,0.368
Manufacturing Milk Prices (including VAT),2013M03,"Milk (per litre), actual fat and protein",Euro,0.353
Manufacturing Milk Prices (including VAT),2013M04,"Milk (per litre), actual fat and protein",Euro,0.357
Manufacturing Milk Prices (including VAT),2013M05,"Milk (per litre), actual fat and protein",Euro,0.374
Manufacturing Milk Prices (including VAT),2013M06,"Milk (per litre), actual fat and protein",Euro,0.383
Manufacturing Milk Prices (including VAT),2013M07,"Milk (per litre), actual fat and protein",Euro,0.381
Manufacturing Milk Prices (including VAT),2013M08,"Milk (per litre), actual fat and protein",Euro,0.406
Manufacturing Milk Prices (including VAT),2013M09,"Milk (per litre), actual fat and protein",Euro,0.437
Manufacturing Milk Prices (including VAT),2013M10,"Milk (per litre), actual fat and protein",Euro,0.468
Manufacturing Milk Prices (including VAT),2013M11,"Milk (per litre), actual fat and protein",Euro,0.476
Manufacturing Milk Prices (including VAT),2013M12,"Milk (per litre), actual fat and protein",Euro,0.457
Manufacturing Milk Prices (including VAT),2014M01,"Milk (per litre), actual fat and protein",Euro,0.436
Manufacturing Milk Prices (including VAT),2014M02,"Milk (per litre), actual fat and protein",Euro,0.43
Manufacturing Milk Prices (including VAT),2014M03,"Milk (per litre), actual fat and protein",Euro,0.403
Manufacturing Milk Prices (including VAT),2014M04,"Milk (per litre), actual fat and protein",Euro,0.399
Manufacturing Milk Prices (including VAT),2014M05,"Milk (per litre), actual fat and protein",Euro,0.383
Manufacturing Milk Prices (including VAT),2014M06,"Milk (per litre), actual fat and protein",Euro,0.381
Manufacturing Milk Prices (including VAT),2014M07,"Milk (per litre), actual fat and protein",Euro,0.364
Manufacturing Milk Prices (including VAT),2014M08,"Milk (per litre), actual fat and protein",Euro,0.377
Manufacturing Milk Prices (including VAT),2014M09,"Milk (per litre), actual fat and protein",Euro,0.366
Manufacturing Milk Prices (including VAT),2014M10,"Milk (per litre), actual fat and protein",Euro,0.394
Manufacturing Milk Prices (including VAT),2014M11,"Milk (per litre), actual fat and protein",Euro,0.388
Manufacturing Milk Prices (including VAT),2014M12,"Milk (per litre), actual fat and protein",Euro,0.362
Manufacturing Milk Prices (including VAT),2015M01,"Milk (per litre), actual fat and protein",Euro,0.345
Manufacturing Milk Prices (including VAT),2015M02,"Milk (per litre), actual fat and protein",Euro,0.346
Manufacturing Milk Prices (including VAT),2015M03,"Milk (per litre), actual fat and protein",Euro,0.311
Manufacturing Milk Prices (including VAT),2015M04,"Milk (per litre), actual fat and protein",Euro,0.313
Manufacturing Milk Prices (including VAT),2015M05,"Milk (per litre), actual fat and protein",Euro,0.299
Manufacturing Milk Prices (including VAT),2015M06,"Milk (per litre), actual fat and protein",Euro,0.291
Manufacturing Milk Prices (including VAT),2015M07,"Milk (per litre), actual fat and protein",Euro,0.281
Manufacturing Milk Prices (including VAT),2015M08,"Milk (per litre), actual fat and protein",Euro,0.288
Manufacturing Milk Prices (including VAT),2015M09,"Milk (per litre), actual fat and protein",Euro,0.302
Manufacturing Milk Prices (including VAT),2015M10,"Milk (per litre), actual fat and protein",Euro,0.322
Manufacturing Milk Prices (including VAT),2015M11,"Milk (per litre), actual fat and protein",Euro,0.322
Manufacturing Milk Prices (including VAT),2015M12,"Milk (per litre), actual fat and protein",Euro,0.304
Manufacturing Milk Prices (including VAT),2016M01,"Milk (per litre), actual fat and protein",Euro,0.301
Manufacturing Milk Prices (including VAT),2016M02,"Milk (per litre), actual fat and protein",Euro,0.297
Manufacturing Milk Prices (including VAT),2016M03,"Milk (per litre), actual fat and protein",Euro,0.252
Manufacturing Milk Prices (including VAT),2016M04,"Milk (per litre), actual fat and protein",Euro,0.249
Manufacturing Milk Prices (including VAT),2016M05,"Milk (per litre), actual fat and protein",Euro,0.247
Manufacturing Milk Prices (including VAT),2016M06,"Milk (per litre), actual fat and protein",Euro,0.243
Manufacturing Milk Prices (including VAT),2016M07,"Milk (per litre), actual fat and protein",Euro,0.253
Manufacturing Milk Prices (including VAT),2016M08,"Milk (per litre), actual fat and protein",Euro,0.279
Manufacturing Milk Prices (including VAT),2016M09,"Milk (per litre), actual fat and protein",Euro,0.309
Manufacturing Milk Prices (including VAT),2016M10,"Milk (per litre), actual fat and protein",Euro,0.351
Manufacturing Milk Prices (including VAT),2016M11,"Milk (per litre), actual fat and protein",Euro,0.377
Manufacturing Milk Prices (including VAT),2016M12,"Milk (per litre), actual fat and protein",Euro,0.362
Manufacturing Milk Prices (including VAT),2017M01,"Milk (per litre), actual fat and protein",Euro,0.368
Manufacturing Milk Prices (including VAT),2017M02,"Milk (per litre), actual fat and protein",Euro,0.356
Manufacturing Milk Prices (including VAT),2017M03,"Milk (per litre), actual fat and protein",Euro,0.331
Manufacturing Milk Prices (including VAT),2017M04,"Milk (per litre), actual fat and protein",Euro,0.331
Manufacturing Milk Prices (including VAT),2017M05,"Milk (per litre), actual fat and protein",Euro,0.341
Manufacturing Milk Prices (including VAT),2017M06,"Milk (per litre), actual fat and protein",Euro,0.351
Manufacturing Milk Prices (including VAT),2017M07,"Milk (per litre), actual fat and protein",Euro,0.366
Manufacturing Milk Prices (including VAT),2017M08,"Milk (per litre), actual fat and protein",Euro,0.394
Manufacturing Milk Prices (including VAT),2017M09,"Milk (per litre), actual fat and protein",Euro,0.426
Manufacturing Milk Prices (including VAT),2017M10,"Milk (per litre), actual fat and protein",Euro,0.438
Manufacturing Milk Prices (including VAT),2017M11,"Milk (per litre), actual fat and protein",Euro,0.441
Manufacturing Milk Prices (including VAT),2017M12,"Milk (per litre), actual fat and protein",Euro,0.426
Manufacturing Milk Prices (including VAT),2018M01,"Milk (per litre), actual fat and protein",Euro,0.399
Manufacturing Milk Prices (including VAT),2018M02,"Milk (per litre), actual fat and protein",Euro,0.382
Manufacturing Milk Prices (including VAT),2018M03,"Milk (per litre), actual fat and protein",Euro,0.343
Manufacturing Milk Prices (including VAT),2018M04,"Milk (per litre), actual fat and protein",Euro,0.321
Manufacturing Milk Prices (including VAT),2018M05,"Milk (per litre), actual fat and protein",Euro,0.321
Manufacturing Milk Prices (including VAT),2018M06,"Milk (per litre), actual fat and protein",Euro,0.326
Manufacturing Milk Prices (including VAT),2018M07,"Milk (per litre), actual fat and protein",Euro,0.328
Manufacturing Milk Prices (including VAT),2018M08,"Milk (per litre), actual fat and protein",Euro,0.353
Manufacturing Milk Prices (including VAT),2018M09,"Milk (per litre), actual fat and protein",Euro,0.382
Manufacturing Milk Prices (including VAT),2018M10,"Milk (per litre), actual fat and protein",Euro,0.401
Manufacturing Milk Prices (including VAT),2018M11,"Milk (per litre), actual fat and protein",Euro,0.404
Manufacturing Milk Prices (including VAT),2018M12,"Milk (per litre), actual fat and protein",Euro,0.385
Manufacturing Milk Prices (including VAT),2019M01,"Milk (per litre), actual fat and protein",Euro,0.349
Manufacturing Milk Prices (including VAT),2019M02,"Milk (per litre), actual fat and protein",Euro,0.352
Manufacturing Milk Prices (including VAT),2019M03,"Milk (per litre), actual fat and protein",Euro,0.337
Manufacturing Milk Prices (including VAT),2019M04,"Milk (per litre), actual fat and protein",Euro,0.327
Manufacturing Milk Prices (including VAT),2019M05,"Milk (per litre), actual fat and protein",Euro,0.325
Manufacturing Milk Prices (including VAT),2019M06,"Milk (per litre), actual fat and protein",Euro,0.33
Manufacturing Milk Prices (including VAT),2019M07,"Milk (per litre), actual fat and protein",Euro,0.321
Manufacturing Milk Prices (including VAT),2019M08,"Milk (per litre), actual fat and protein",Euro,0.331
Manufacturing Milk Prices (including VAT),2019M09,"Milk (per litre), actual fat and protein",Euro,0.356
Manufacturing Milk Prices (including VAT),2019M10,"Milk (per litre), actual fat and protein",Euro,0.378
Manufacturing Milk Prices (including VAT),2019M11,"Milk (per litre), actual fat and protein",Euro,0.386
Manufacturing Milk Prices (including VAT),2019M12,"Milk (per litre), actual fat and protein",Euro,0.376
Manufacturing Milk Prices (including VAT),2020M01,"Milk (per litre), actual fat and protein",Euro,0.357
Manufacturing Milk Prices (including VAT),2020M02,"Milk (per litre), actual fat and protein",Euro,0.359
Manufacturing Milk Prices (including VAT),2020M03,"Milk (per litre), actual fat and protein",Euro,0.326
Manufacturing Milk Prices (including VAT),2020M04,"Milk (per litre), actual fat and protein",Euro,0.313
Manufacturing Milk Prices (including VAT),2020M05,"Milk (per litre), actual fat and protein",Euro,0.315
Manufacturing Milk Prices (including VAT),2020M06,"Milk (per litre), actual fat and protein",Euro,0.327
Manufacturing Milk Prices (including VAT),2020M07,"Milk (per litre), actual fat and protein",Euro,0.338
Manufacturing Milk Prices (including VAT),2020M08,"Milk (per litre), actual fat and protein",Euro,0.349
Manufacturing Milk Prices (including VAT),2020M09,"Milk (per litre), actual fat and protein",Euro,0.377
Manufacturing Milk Prices (including VAT),2020M10,"Milk (per litre), actual fat and protein",Euro,0.403
Manufacturing Milk Prices (including VAT),2020M11,"Milk (per litre), actual fat and protein",Euro,0.402
Manufacturing Milk Prices (including VAT),2020M12,"Milk (per litre), actual fat and protein",Euro,0.386
Manufacturing Milk Prices (including VAT),2021M01,"Milk (per litre), actual fat and protein",Euro,0.368
Manufacturing Milk Prices (including VAT),2021M02,"Milk (per litre), actual fat and protein",Euro,0.384
Manufacturing Milk Prices (including VAT),2021M03,"Milk (per litre), actual fat and protein",Euro,0.383
Manufacturing Milk Prices (including VAT),2021M04,"Milk (per litre), actual fat and protein",Euro,0.377
Manufacturing Milk Prices (including VAT),2021M05,"Milk (per litre), actual fat and protein",Euro,0.386
Manufacturing Milk Prices (including VAT),2021M06,"Milk (per litre), actual fat and protein",Euro,0.385
Manufacturing Milk Prices (including VAT),2021M07,"Milk (per litre), actual fat and protein",Euro,0.383
Manufacturing Milk Prices (including VAT),2021M08,"Milk (per litre), actual fat and protein",Euro,0.404
Manufacturing Milk Prices (including VAT),2021M09,"Milk (per litre), actual fat and protein",Euro,0.437
Manufacturing Milk Prices (including VAT),2021M10,"Milk (per litre), actual fat and protein",Euro,0.479
Manufacturing Milk Prices (including VAT),2021M11,"Milk (per litre), actual fat and protein",Euro,0.501
Manufacturing Milk Prices (including VAT),2021M12,"Milk (per litre), actual fat and protein",Euro,0.499
Manufacturing Milk Prices (including VAT),2022M01,"Milk (per litre), actual fat and protein",Euro,0.474
Manufacturing Milk Prices (including VAT),2022M02,"Milk (per litre), actual fat and protein",Euro,0.49
